Column1,Column2,Column3
編　　號Cezanne024作　　者塞尚 Paul Cezanne年　　份1877 - 79原作尺寸59 x 72.9 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1892,https://www.ss.net.tw/images/product_images/popup_images/Cezanne024.jpg,靜物與甜點 Still Life with a Dessert
編　　號Cezanne025作　　者塞尚 Paul Cezanne年　　份1888 - 90原作尺寸102 x 81 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2267,https://www.ss.net.tw/images/product_images/popup_images/Cezanne025.jpg,丑角與喜劇演員 Pierrot and Harlequin (Mardi-Gras)
編　　號Cezanne026作　　者塞尚 Paul Cezanne年　　份1890 - 92原作尺寸92.5 x 73.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次3701,https://www.ss.net.tw/images/product_images/popup_images/Cezanne026.jpg,吸煙者 The Smoker
編　　號Cezanne027作　　者塞尚 Paul Cezanne年　　份1890 - 91原作尺寸54.2 x 66.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1629,https://www.ss.net.tw/images/product_images/popup_images/Cezanne027.jpg,沐浴者  Bathers
編　　號Cezanne028作　　者塞尚 Paul Cezanne年　　份1873 - 75原作尺寸55.2 x 46 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1727,https://www.ss.net.tw/images/product_images/popup_images/Cezanne028.jpg,藍色花瓶 Flowers in a Blue Vase
編　　號Cezanne029作　　者塞尚 Paul Cezanne年　　份1866原作尺寸116.3 x 98.4 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1577,https://www.ss.net.tw/images/product_images/popup_images/Cezanne029.jpg,安東尼畫像 Antony Valabregue
編　　號Cezanne030作　　者塞尚 Paul Cezanne年　　份1868原作尺寸57.8 x 92.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1705,https://www.ss.net.tw/images/product_images/popup_images/Cezanne030.jpg,彈鋼琴少女 Girl at the Piano (The Overture to Tannhauser)
編　　號Cezanne031作　　者塞尚 Paul Cezanne年　　份1879原作尺寸55.9 x 46.3 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1776,https://www.ss.net.tw/images/product_images/popup_images/Cezanne031.jpg,樹木後面的村莊.法蘭西島 Village derriere des arbres. Ile-de-France
編　　號Cezanne032作　　者塞尚 Paul Cezanne年　　份1885 - 87原作尺寸46 x 38.3 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1713,https://www.ss.net.tw/images/product_images/popup_images/Cezanne032.jpg,塞尚夫人肖像 Portrait of Madame Cezanne
編　　號Cezanne033作　　者塞尚 Paul Cezanne年　　份1878 - 79原作尺寸20 x 25.7 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2154,https://www.ss.net.tw/images/product_images/popup_images/Cezanne033.jpg,三顆梨 Three Pears
編　　號Cezanne034作　　者塞尚 Paul Cezanne年　　份1880 - 81原作尺寸55.5 x 45.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1691,https://www.ss.net.tw/images/product_images/popup_images/Cezanne034.jpg,自畫像 Self-Portrait
編　　號Cezanne035作　　者塞尚 Paul Cezanne年　　份1872原作尺寸53 x 39.7 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1745,https://www.ss.net.tw/images/product_images/popup_images/Cezanne035.jpg,戴鴨咀帽的自畫像 Self-Portrait in a Casquette
編　　號Cezanne036作　　者塞尚 Paul Cezanne年　　份1888原作尺寸65.5 x 81.3 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1759,https://www.ss.net.tw/images/product_images/popup_images/Cezanne036.jpg,河岸 The Banks of the Marne (Villa on the Bank of a River)
編　　號Cezanne037作　　者塞尚 Paul Cezanne年　　份1901 - 06原作尺寸65 x 54 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2043,https://www.ss.net.tw/images/product_images/popup_images/Cezanne037.jpg,農夫畫像 Portrait of a Farmer
編　　號Cezanne038作　　者塞尚 Paul Cezanne年　　份1885 - 87原作尺寸65.5 x 65.5 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1939,https://www.ss.net.tw/images/product_images/popup_images/Cezanne038.jpg,五位浴者 Cinq Baigneuses (Five Bathers)
編　　號Cezanne039作　　者塞尚 Paul Cezanne年　　份1881原作尺寸50 x 61 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2353,https://www.ss.net.tw/images/product_images/popup_images/Cezanne039.jpg,河流 La Riviere
編　　號Cezanne040作　　者塞尚 Paul Cezanne年　　份1870 - 71原作尺寸53.7 x 65 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1855,https://www.ss.net.tw/images/product_images/popup_images/Cezanne040.jpg,洛磯山脈的路樹景觀 Landscape. Road with Trees in Rocky Mountains
編　　號Cezanne041作　　者塞尚 Paul Cezanne年　　份1895原作尺寸20.6 x 30.8 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2263,https://www.ss.net.tw/images/product_images/popup_images/Cezanne041.jpg,一群泳客 Group of Bathers
編　　號Cezanne042作　　者塞尚 Paul Cezanne年　　份1902原作尺寸83.8 x 65.1 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次1907,https://www.ss.net.tw/images/product_images/popup_images/Cezanne042.jpg,聖維克多山 Mont Sainte-Victoire
編　　號Cezanne043作　　者塞尚 Paul Cezanne年　　份1880 - 1890原作尺寸46.4 x 56.1 cm原作材質油彩．畫布 Oil on Canvas瀏覽人次2376,https://www.ss.net.tw/images/product_images/popup_images/Cezanne043.jpg,森林內部 Interior of a forest
